Customer_ID,Age,Gender,Country,Visit_Date,Seating_Region,Ticket_Price,Num_Tickets,Merchandise_Spend,Drink_Spend,Repeat_Visit,Satisfaction_Score,Recommendation_Likelihood,Ticket_Revenue,Total_Revenue,Spend_Per_Ticket,Ancillary_Ratio,Sat_x_Rec,Spend_x_Tickets,Visit_Month,Visit_DayOfWeek,Visit_Quarter,Age_Group
CUST_0001,56,Male,Sweden,2025-06-08,VIP,200,2,35.5,4.94,0,10.0,8,400,440.44,220.22,0.09181727363545544,80.0,440.44,6,6,2,56-65
CUST_0002,69,Female,Australia,2025-04-10,Premium,150,4,96.09,8.37,1,7.9,10,600,704.46,176.115,0.14828379184055873,79.0,704.46,4,3,2,65+
CUST_0003,46,Female,USA,2025-04-11,Premium,150,2,37.05,0.38,0,8.3,10,300,337.43,168.715,0.11092671072518745,83.0,337.43,4,4,2,46-55
CUST_0004,32,Male,Australia,2025-02-09,High Economy,100,4,34.22,16.79,0,7.3,8,400,451.01000000000005,112.75250000000001,0.11310170506197201,58.4,451.01000000000005,2,6,1,26-35
CUST_0005,60,Male,USA,2025-02-20,High Economy,100,1,63.07,38.77,1,8.2,8,100,201.84,201.84,0.5045580657946889,65.6,201.84,2,3,1,56-65
CUST_0006,25,Female,Japan,2025-07-27,Premium,150,3,34.56,17.37,0,8.2,8,450,501.93,167.31,0.1034606419221804,65.6,501.93,7,6,3,18-25
CUST_0007,38,Female,Germany,2025-07-01,VIP,200,2,6.81,20.0,1,9.4,8,400,426.81,213.405,0.0628148356411518,75.2,426.81,7,1,3,36-45
CUST_0008,56,Other,Japan,2025-06-14,VIP,200,2,71.64,62.26,0,8.1,10,400,533.9,266.95,0.2507960292189549,81.0,533.9,6,5,2,56-65
CUST_0009,36,Male,UK,2025-01-29,Economy,60,4,87.49,5.1,0,8.2,8,240,332.59000000000003,83.14750000000001,0.2783908115096665,65.6,332.59000000000003,1,2,1,36-45
CUST_0010,40,Female,Sweden,2025-05-29,Premium,150,4,41.95,38.67,1,8.8,7,600,680.62,170.155,0.11845082424847933,61.60000000000001,680.62,5,3,2,36-45
CUST_0011,28,Male,USA,2025-02-04,High Economy,100,2,60.59,14.21,0,9.3,4,200,274.8,137.4,0.27219796215429404,37.2,274.8,2,1,1,26-35
CUST_0012,28,Female,Australia,2025-08-01,Economy,60,4,38.5,8.39,1,6.5,7,240,286.89,71.7225,0.16344243438251596,45.5,286.89,8,4,3,26-35
CUST_0013,41,Female,Germany,2025-06-27,High Economy,100,2,55.28,21.44,0,6.1,6,200,276.72,138.36,0.2772477594680543,36.599999999999994,276.72,6,4,2,36-45
CUST_0014,53,Male,USA,2025-07-04,Economy,60,2,22.64,9.86,0,10.0,8,120,152.5,76.25,0.21311475409836064,80.0,152.5,7,4,3,46-55
CUST_0015,57,Male,Australia,2025-06-25,Premium,150,2,201.45,10.49,1,9.1,6,300,511.94,255.97,0.41399382740164864,54.599999999999994,511.94,6,2,2,56-65
CUST_0016,41,Male,Sweden,2025-07-18,Economy,60,1,167.97,31.23,0,7.7,9,60,259.2,259.2,0.7685185185185185,69.3,259.2,7,4,3,36-45
CUST_0017,20,Male,Japan,2025-07-08,VIP,200,4,19.63,34.44,1,8.0,10,800,854.0699999999999,213.51749999999998,0.06330862809839942,80.0,854.0699999999999,7,1,3,18-25
CUST_0018,39,Male,Sweden,2025-01-02,VIP,200,3,48.16,17.11,0,7.4,8,600,665.27,221.75666666666666,0.09811054158461978,59.2,665.27,1,3,1,36-45
CUST_0019,19,Female,France,2025-01-22,High Economy,100,3,57.6,54.71,0,8.3,7,300,412.31,137.43666666666667,0.2723921321335888,58.10000000000001,412.31,1,2,1,18-25
CUST_0020,41,Female,UK,2025-08-06,Economy,60,4,59.44,11.69,0,6.5,8,240,311.13,77.7825,0.2286182624626362,52.0,311.13,8,2,3,36-45
CUST_0021,61,Female,France,2025-02-19,Economy,60,2,97.61,68.6,1,9.3,10,120,286.21000000000004,143.10500000000002,0.5807274378952516,93.0,286.21000000000004,2,2,1,56-65
CUST_0022,47,Other,Germany,2025-06-17,VIP,200,3,31.27,42.89,0,8.3,10,600,674.16,224.72,0.11000355998576006,83.0,674.16,6,1,2,46-55
CUST_0023,55,Female,USA,2025-04-22,Premium,150,3,68.39,41.68,0,8.3,6,450,560.0699999999999,186.68999999999997,0.19652900530290857,49.800000000000004,560.0699999999999,4,1,2,46-55
CUST_0024,19,Female,Germany,2025-06-05,Economy,60,4,43.24,27.79,1,6.7,6,240,311.03000000000003,77.75750000000001,0.2283702536732791,40.2,311.03000000000003,6,3,2,18-25
CUST_0025,38,Female,Japan,2025-03-31,Premium,150,3,13.9,24.69,1,8.8,6,450,488.59,162.86333333333332,0.07898237786282979,52.800000000000004,488.5899999999999,3,0,1,36-45
CUST_0026,50,Male,Australia,2025-04-10,Economy,60,2,81.34,20.07,0,6.7,6,120,221.41,110.705,0.4580190596630685,40.2,221.41,4,3,2,46-55
CUST_0027,29,Male,Sweden,2025-01-17,Economy,60,4,47.91,39.33,0,7.0,8,240,327.23999999999995,81.80999999999999,0.2665933259992666,56.0,327.23999999999995,1,4,1,26-35
CUST_0028,39,Male,France,2025-01-14,High Economy,100,2,41.27,36.13,0,8.1,7,200,277.40000000000003,138.70000000000002,0.2790194664744052,56.699999999999996,277.40000000000003,1,1,1,36-45
CUST_0029,61,Male,France,2025-03-14,Premium,150,3,45.78,22.67,0,10.0,7,450,518.4499999999999,172.81666666666663,0.1320281608641142,70.0,518.4499999999999,3,4,1,56-65
CUST_0030,42,Male,Japan,2025-03-01,High Economy,100,3,82.47,11.66,0,8.3,10,300,394.13000000000005,131.3766666666667,0.23882982772181763,83.0,394.1300000000001,3,5,1,36-45
CUST_0031,66,Male,France,2025-08-31,Premium,150,2,26.76,3.76,0,4.1,9,300,330.52,165.26,0.09233934406389932,36.9,330.52,8,6,3,65+
CUST_0032,44,Female,Japan,2025-04-20,Economy,60,1,15.04,27.82,0,7.0,5,60,102.85999999999999,102.85999999999999,0.41668286992028003,35.0,102.85999999999999,4,6,2,36-45
CUST_0033,59,Female,Germany,2025-04-09,High Economy,100,3,32.72,18.09,1,9.0,10,300,350.81,116.93666666666667,0.14483623613922067,90.0,350.81,4,2,2,56-65
CUST_0034,45,Male,Sweden,2025-02-04,Economy,60,1,58.66,29.3,1,6.3,9,60,147.96,147.96,0.5944849959448499,56.699999999999996,147.96,2,1,1,36-45
CUST_0035,33,Male,USA,2025-02-01,VIP,200,3,31.32,32.74,0,9.2,9,600,664.0600000000001,221.35333333333335,0.09646718669999699,82.8,664.0600000000001,2,5,1,26-35
CUST_0036,32,Male,Australia,2025-05-10,Economy,60,1,64.36,1.12,0,8.2,7,60,125.48,125.48,0.5218361491871215,57.39999999999999,125.48,5,5,2,26-35
CUST_0037,64,Female,USA,2025-08-11,High Economy,100,1,68.31,10.83,0,9.5,8,100,179.14000000000001,179.14000000000001,0.44177738081947077,76.0,179.14000000000001,8,0,3,56-65
CUST_0038,68,Female,Germany,2025-06-22,VIP,200,1,43.77,12.2,0,7.2,5,200,255.97,255.97,0.2186584365355315,36.0,255.97,6,6,2,65+
CUST_0039,61,Female,Australia,2025-05-04,VIP,200,2,67.38,4.81,1,7.0,9,400,472.19,236.095,0.15288337321840784,63.0,472.19,5,6,2,56-65
CUST_0040,69,Male,France,2025-02-16,Economy,60,1,48.38,23.19,0,8.8,7,60,131.57,131.57,0.5439689898913127,61.60000000000001,131.57,2,6,1,65+
CUST_0041,20,Female,UK,2025-02-03,High Economy,100,1,51.72,27.57,0,8.0,7,100,179.29,179.29,0.4422444085001952,56.0,179.29,2,0,1,18-25
CUST_0042,54,Other,Germany,2025-06-14,Economy,60,1,66.15,19.6,0,7.9,7,60,145.75,145.75,0.5883361921097771,55.300000000000004,145.75,6,5,2,46-55
CUST_0043,68,Male,Germany,2025-03-12,VIP,200,3,53.82,4.3,0,10.0,10,600,658.12,219.37333333333333,0.08831216191576004,100.0,658.12,3,2,1,65+
CUST_0044,24,Female,Sweden,2025-07-23,VIP,200,1,12.34,25.09,0,8.9,7,200,237.43,237.43,0.15764646422103357,62.300000000000004,237.43,7,2,3,18-25
CUST_0045,38,Female,USA,2025-04-21,High Economy,100,3,149.42,11.66,0,5.0,9,300,461.08,153.69333333333333,0.34935369133339117,45.0,461.08,4,0,2,36-45
CUST_0046,26,Female,Germany,2025-03-27,Premium,150,1,54.76,10.64,0,9.2,8,150,215.39999999999998,215.39999999999998,0.3036211699164346,73.6,215.39999999999998,3,3,1,26-35
CUST_0047,56,Male,Germany,2025-08-11,High Economy,100,1,24.55,34.62,0,9.0,7,100,159.17,159.17,0.3717409059496137,63.0,159.17,8,0,3,56-65
CUST_0048,35,Female,France,2025-05-31,Economy,60,2,68.84,48.31,1,9.8,7,120,237.15,118.575,0.4939911448450348,68.60000000000001,237.15,5,5,2,26-35
CUST_0049,21,Female,France,2025-07-30,Economy,60,3,154.3,26.13,1,6.6,7,180,360.43,120.14333333333333,0.5005965097244958,46.199999999999996,360.43,7,2,3,18-25
CUST_0050,42,Female,Australia,2025-08-21,Economy,60,1,29.41,11.76,0,8.5,8,60,101.17,101.17,0.4069388158545023,68.0,101.17,8,3,3,36-45
CUST_0051,31,Other,Japan,2025-01-31,Economy,60,3,178.46,13.98,0,8.2,9,180,372.44000000000005,124.14666666666669,0.5167006766190526,73.8,372.44000000000005,1,4,1,26-35
CUST_0052,67,Female,Japan,2025-07-06,Premium,150,3,86.2,29.4,0,6.6,7,450,565.6,188.53333333333333,0.20438472418670436,46.199999999999996,565.6,7,6,3,65+
CUST_0053,26,Other,UK,2025-03-30,High Economy,100,4,9.39,3.32,0,9.4,7,400,412.71,103.1775,0.0307964430229459,65.8,412.71,3,6,1,26-35
CUST_0054,43,Female,Japan,2025-03-21,High Economy,100,2,186.79,80.65,0,7.6,7,200,467.43999999999994,233.71999999999997,0.5721376005476639,53.199999999999996,467.43999999999994,3,4,1,36-45
CUST_0055,19,Female,Sweden,2025-08-04,Economy,60,2,9.48,17.52,0,9.7,6,120,147.0,73.5,0.1836734693877551,58.199999999999996,147.0,8,0,3,18-25
CUST_0056,37,Female,UK,2025-05-29,VIP,200,2,56.85,16.56,0,6.9,6,400,473.41,236.705,0.1550664329017131,41.400000000000006,473.41,5,3,2,36-45
CUST_0057,45,Male,Australia,2025-09-08,High Economy,100,4,44.99,16.32,0,5.8,10,400,461.31,115.3275,0.13290412087316555,58.0,461.31,9,0,3,36-45
CUST_0058,64,Female,France,2025-08-24,VIP,200,4,20.26,7.74,0,7.6,7,800,828.0,207.0,0.033816425120772944,53.199999999999996,828.0,8,6,3,56-65
CUST_0059,24,Female,Japan,2025-06-30,High Economy,100,2,76.91,35.46,0,8.3,7,200,312.36999999999995,156.18499999999997,0.3597336491980665,58.10000000000001,312.36999999999995,6,0,2,18-25
