Age,Ticket_Price,Num_Tickets,Merchandise_Spend,Drink_Spend,Repeat_Visit,Satisfaction_Score,Recommendation_Likelihood,Ticket_Revenue,Total_Revenue,Spend_Per_Ticket,Ancillary_Ratio,Sat_x_Rec,Spend_x_Tickets,Visit_Month,Visit_DayOfWeek,Visit_Quarter,Gender_Male,Gender_Other,Country_France,Country_Germany,Country_Japan,Country_Sweden,Country_UK,Country_USA,Seating_Region_High Economy,Seating_Region_Premium,Seating_Region_VIP,Age_Group_26-35,Age_Group_36-45,Age_Group_46-55,Age_Group_56-65,Age_Group_65+
44,150,4,43.32,21.47,1,7.1,8,600,664.7900000000001,166.19750000000002,0.0974593480648024,56.8,664.7900000000001,6,2,2,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
63,100,4,22.64,49.5,1,8.6,7,400,472.14,118.035,0.15279366289659846,60.199999999999996,472.14,5,3,2,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
56,200,1,26.25,19.95,1,7.7,7,200,246.2,246.2,0.18765231519090173,53.9,246.2,5,2,2,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
45,60,4,46.82,4.97,1,8.3,7,240,291.79,72.9475,0.17749066109188114,58.10000000000001,291.79,5,0,2,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
68,200,3,36.2,15.62,1,8.7,10,600,651.82,217.27333333333334,0.07950047559142094,87.0,651.82,5,1,2,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
39,150,4,14.62,4.61,0,7.7,7,600,619.23,154.8075,0.031054696962356475,53.9,619.23,1,3,1,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
43,150,1,86.18,15.15,0,8.7,8,150,251.33,251.33,0.40317510842318866,69.6,251.33,2,3,1,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False
59,100,1,19.98,18.73,0,8.4,9,100,138.71,138.71,0.27907144401989764,75.60000000000001,138.71,5,6,2,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
31,200,3,24.92,22.41,1,7.1,6,600,647.3299999999999,215.77666666666664,0.07311572150217047,42.599999999999994,647.3299999999999,4,2,2,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
32,150,1,37.38,5.31,0,8.5,10,150,192.69,192.69,0.2215475634438736,85.0,192.69,5,0,2,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
50,200,3,63.56,21.14,1,8.9,6,600,684.6999999999999,228.23333333333332,0.12370381188841831,53.400000000000006,684.6999999999999,6,6,2,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False
34,60,3,31.17,12.17,1,7.9,8,180,223.34,74.44666666666667,0.19405390883854215,63.2,223.34000000000003,7,2,3,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
20,100,3,62.91,21.46,1,9.8,7,300,384.36999999999995,128.1233333333333,0.21950204230298934,68.60000000000001,384.3699999999999,2,6,1,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
42,60,4,58.73,33.63,1,4.8,9,240,332.36,83.09,0.2778914430135997,43.199999999999996,332.36,1,6,1,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
61,100,2,12.97,32.16,0,7.5,8,200,245.13,122.565,0.18410639252641453,60.0,245.13,6,2,2,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
33,60,2,82.41,19.85,0,9.2,9,120,222.26,111.13,0.46009178439665255,82.8,222.26,3,6,1,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
68,200,3,53.82,4.3,0,10.0,10,600,658.12,219.37333333333333,0.08831216191576004,100.0,658.12,3,2,1,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
57,60,3,37.1,15.64,1,6.3,7,180,232.74,77.58,0.22660479505027067,44.1,232.74,2,2,1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
38,150,4,83.67,14.69,0,7.2,9,600,698.36,174.59,0.14084426370353398,64.8,698.36,1,2,1,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False
40,200,4,115.47,41.11,0,10.0,9,800,956.58,239.145,0.16368730268247295,90.0,956.58,9,1,3,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False
54,60,3,33.11,20.69,1,8.5,9,180,233.8,77.93333333333334,0.23011120615911032,76.5,233.8,5,2,2,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
18,100,1,242.67,8.06,0,7.3,8,100,350.72999999999996,350.72999999999996,0.7148803923245802,58.4,350.72999999999996,8,1,3,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
22,100,4,89.28,25.92,0,6.5,6,400,515.1999999999999,128.79999999999998,0.22360248447204972,39.0,515.1999999999999,6,2,2,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
61,150,3,45.78,22.67,0,10.0,7,450,518.4499999999999,172.81666666666663,0.1320281608641142,70.0,518.4499999999999,3,4,1,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
64,100,2,75.37,5.39,0,9.3,9,200,280.76,140.38,0.2876478130787862,83.7,280.76,4,4,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
61,100,4,15.28,12.02,1,8.4,9,400,427.29999999999995,106.82499999999999,0.06388953896559794,75.60000000000001,427.29999999999995,4,4,2,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False
30,100,4,22.36,13.44,0,9.5,7,400,435.8,108.95,0.08214777420835245,66.5,435.8,4,2,2,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False
24,100,1,45.71,11.31,0,10.0,8,100,157.02,157.02,0.36313845370016556,80.0,157.02,6,5,2,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
58,60,3,61.07,31.56,1,8.4,10,180,272.63,90.87666666666667,0.33976451601071045,84.0,272.63,1,6,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
23,60,3,76.36,5.85,0,8.9,5,180,262.21000000000004,87.40333333333335,0.31352732542618506,44.5,262.21000000000004,8,6,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
